40,10532324,TOSTERÖ,Outdoor furniture,https://www.ikea.com/sa/en/p/tosteroe-cover-for-outdoor-furniture-black-10532324/,SR90
41,40512466,IVAR,Cabinets & cupboards,https://www.ikea.com/sa/en/p/ivar-folding-table-pine-40512466/,SR475
42,30503392,IKEA PS,"Sideboards, buffets & console tables",https://www.ikea.com/sa/en/p/ikea-ps-cabinet-light-grey-green-30503392/,SR499
43,50346985,LANGUR,Dining furniture,https://www.ikea.com/sa/en/p/langur-padded-seat-cover-for-junior-chair-grey-50346985/,SR49
44,60507138,KYRRE,Dining furniture,https://www.ikea.com/sa/en/p/kyrre-stool-green-60507138/,SR89
45,70323351,BILLY,Bookcases & shelving units,https://www.ikea.com/sa/en/p/billy-bookcase-brown-ash-veneer-70323351/,SR359
46,50511763,SAKARIAS,Dining furniture,https://www.ikea.com/sa/en/p/sakarias-cover-for-chair-with-armrests-kvillsfors-50511763/,SR149
47,30330971,PLATSA,Cabinets & cupboards,https://www.ikea.com/sa/en/p/platsa-frame-white-30330971/,SR300
48,80472637,EKTORP,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/ektorp-cover-for-3-seat-sofa-with-chaise-longue-hallarp-beige-80472637/,SR995
49,10542498,HAVSTEN,Outdoor furniture,https://www.ikea.com/sa/en/p/havsten-2-seat-sofa-outdoor-beige-10542498/,"SR1,160"
50,90547623,VRETSTORP,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/vretstorp-cover-for-3-seat-sofa-bed-karlshov-beige-multicolour-90547623/,SR795
51,50211104,JOKKMOKK,Dining furniture,https://www.ikea.com/sa/en/p/jokkmokk-table-and-4-chairs-antique-stain-50211104/,SR799
52,50360146,KALLAX,Room dividers,https://www.ikea.com/sa/en/p/kallax-shelving-unit-walnut-effect-light-grey-50360146/,"SR1,299"
53,70498435,TULLSTORP,Cabinets & cupboards,https://www.ikea.com/sa/en/p/tullstorp-cabinet-grey-70498435/,SR495
54,50486221,BERGMUND,Dining furniture,https://www.ikea.com/sa/en/p/bergmund-chair-cover-long-inseros-white-50486221/,SR160
55,10436997,LOMMARP,Cabinets & cupboards,https://www.ikea.com/sa/en/p/lommarp-cabinet-light-beige-10436997/,"SR1,595"
56,50565195,TROFAST,Nursery furniture,https://www.ikea.com/sa/en/p/trofast-frame-grey-50565195/,SR175
57,80245051,STOCKHOLM,Sofas,https://www.ikea.com/sa/en/p/stockholm-three-seat-sofa-seglora-natural-80245051/,"SR9,995"
58,60519023,SÖDERHAMN,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/soederhamn-cover-for-3-seat-section-tonerud-grey-60519023/,SR495
59,30388636,HAVSTA,Cabinets & cupboards,https://www.ikea.com/sa/en/p/havsta-glass-door-cabinet-white-30388636/,"SR1,445"
60,70245339,BESTÅ BURS,Tables & desks,https://www.ikea.com/sa/en/p/besta-burs-desk-high-gloss-white-70245339/,"SR1,295"
61,80568729,DANDERYD,Dining furniture,https://www.ikea.com/sa/en/p/danderyd-dining-table-black-80568729/,SR799
62,70342199,FJÄLLBO,Bookcases & shelving units,https://www.ikea.com/sa/en/p/fjaellbo-shelving-unit-black-70342199/,SR399
63,501177,GRÖNLID,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/groenlid-cover-for-2-seat-sofa-bed-section-inseros-white-00501177/,SR500
64,10518568,TROFAST,Nursery furniture,https://www.ikea.com/sa/en/p/trofast-mesh-storage-box-dark-grey-10518568/,SR25
65,70486220,BERGMUND,Dining furniture,https://www.ikea.com/sa/en/p/bergmund-chair-cover-rommele-dark-blue-white-70486220/,SR140
66,486327,GURSKEN,Chests of drawers & drawer units,https://www.ikea.com/sa/en/p/gursken-chest-of-3-drawers-light-beige-00486327/,SR245
67,80397916,IDÅSEN,Tables & desks,https://www.ikea.com/sa/en/p/idasen-underframe-for-table-top-dark-grey-80397916/,"SR1,045"
68,80309241,KULLEN,Chests of drawers & drawer units,https://www.ikea.com/sa/en/p/kullen-chest-of-2-drawers-white-80309241/,SR159
